dokument_kod	dokument_plik	dokument_tytul	url_stabilny	poziom	glebokosc	kolejnosc	sekcja_tytul	anchor	anchor_status	deep_link	opis
A2	a2_ZAMROZONE-maj-2026-gradually-stalo-sie-suddenly-v25_00-2026-06-25.html	ZAMROZONE · maj 2026. gradually stalo sie suddenly · v25.00	https://maciektora-hue.github.io/rosja/gradually-suddenly/	H3	3	37	Jednoczesność sprzeczności — logika nieliniowa	budanov-nieliniowa	OK	https://maciektora-hue.github.io/rosja/gradually-suddenly/#budanov-nieliniowa	Sprzeczne stany traktowane jako równocześnie prawdziwe, bez binarnego wyboru.
A2	a2_ZAMROZONE-maj-2026-gradually-stalo-sie-suddenly-v25_00-2026-06-25.html	ZAMROZONE · maj 2026. gradually stalo sie suddenly · v25.00	https://maciektora-hue.github.io/rosja/gradually-suddenly/	H6	6	38	Stoicyzm jako maska operacyjna	stoicyzm-maska-operacyjna	OK	https://maciektora-hue.github.io/rosja/gradually-suddenly/#stoicyzm-maska-operacyjna	„Stoicyzm” jako użyteczna maska dla nieliniowego sposobu działania Budanowa.
A2	a2_ZAMROZONE-maj-2026-gradually-stalo-sie-suddenly-v25_00-2026-06-25.html	ZAMROZONE · maj 2026. gradually stalo sie suddenly · v25.00	https://maciektora-hue.github.io/rosja/gradually-suddenly/	H3	3	39	Znać reguły a rozumieć reguły	budanov-regfrom	OK	https://maciektora-hue.github.io/rosja/gradually-suddenly/#budanov-regfrom	Rozumienie reguł pozwala tworzyć nowe kategorie zamiast tylko je łamać.
A2	a2_ZAMROZONE-maj-2026-gradually-stalo-sie-suddenly-v25_00-2026-06-25.html	ZAMROZONE · maj 2026. gradually stalo sie suddenly · v25.00	https://maciektora-hue.github.io/rosja/gradually-suddenly/	H3	3	40	Jedność jako system operacyjny, nie posłuszeństwo	budanov-jednosc	OK	https://maciektora-hue.github.io/rosja/gradually-suddenly/#budanov-jednosc	Jedność sytuacyjna jako zdolność wspólnej decyzji, nie permanentne posłuszeństwo.
A2	a2_ZAMROZONE-maj-2026-gradually-stalo-sie-suddenly-v25_00-2026-06-25.html	ZAMROZONE · maj 2026. gradually stalo sie suddenly · v25.00	https://maciektora-hue.github.io/rosja/gradually-suddenly/	H6	6	41	Antifragile kontra dark legitimacy — odwrócenie modelu rosyjskiego	antifragile-dark-legitimacy	OK	https://maciektora-hue.github.io/rosja/gradually-suddenly/#antifragile-dark-legitimacy	Ukraińska jedność jako antykruchość przeciw rosyjskiej dark legitimacy.
A2	a2_ZAMROZONE-maj-2026-gradually-stalo-sie-suddenly-v25_00-2026-06-25.html	ZAMROZONE · maj 2026. gradually stalo sie suddenly · v25.00	https://maciektora-hue.github.io/rosja/gradually-suddenly/	H3	3	42	"„Po Tupolewa nie idzie się do sklepu z Tupolewami"" — zasada zerwanego łańcucha zastępowalności"	po-tupolewa-do-sklepu	OK	https://maciektora-hue.github.io/rosja/gradually-suddenly/#po-tupolewa-do-sklepu	Nieodtwarzalne platformy sowieckie: każda strata trwale zmniejsza dostępny zasób.
A2	a2_ZAMROZONE-maj-2026-gradually-stalo-sie-suddenly-v25_00-2026-06-25.html	ZAMROZONE · maj 2026. gradually stalo sie suddenly · v25.00	https://maciektora-hue.github.io/rosja/gradually-suddenly/	H6	6	43	Uwaga na marginesie — historia A-50 jako precedens	uwaga-a50-precedens	OK	https://maciektora-hue.github.io/rosja/gradually-suddenly/#uwaga-a50-precedens	Dwa utracone A-50 jako precedens nieodtwarzalnej degradacji zdolności AWACS.
A2	a2_ZAMROZONE-maj-2026-gradually-stalo-sie-suddenly-v25_00-2026-06-25.html	ZAMROZONE · maj 2026. gradually stalo sie suddenly · v25.00	https://maciektora-hue.github.io/rosja/gradually-suddenly/	H3	3	44	Mapa Dniepr 9.04.2026 — trzy warstwy fałszowania w jednym artefakcie	mapa-dniepr-trzy-warstwy	OK	https://maciektora-hue.github.io/rosja/gradually-suddenly/#mapa-dniepr-trzy-warstwy	Mapa Dniepr pokazuje trzy warstwy fałszowania obrazu frontu wewnątrz systemu.
A2	a2_ZAMROZONE-maj-2026-gradually-stalo-sie-suddenly-v25_00-2026-06-25.html	ZAMROZONE · maj 2026. gradually stalo sie suddenly · v25.00	https://maciektora-hue.github.io/rosja/gradually-suddenly/	H3	3	45	Saldo i blokada Leningradu — autodemaskacja przez język	saldo-leningrad-autodemaskacja	OK	https://maciektora-hue.github.io/rosja/gradually-suddenly/#saldo-leningrad-autodemaskacja	Propagandowa metafora Saldo mimowolnie potwierdza izolację rosyjskiej logistyki.
A2	a2_ZAMROZONE-maj-2026-gradually-stalo-sie-suddenly-v25_00-2026-06-25.html	ZAMROZONE · maj 2026. gradually stalo sie suddenly · v25.00	https://maciektora-hue.github.io/rosja/gradually-suddenly/	H3	3	46	Voenkory pękają — rozszczepienie warstwy milblogerskiej, marzec–maj 2026	voenkory-pekaja	OK	https://maciektora-hue.github.io/rosja/gradually-suddenly/#voenkory-pekaja	Rozszczepienie rosyjskich milblogerów jako sygnał pękania dyscypliny narracyjnej.
A2	a2_ZAMROZONE-maj-2026-gradually-stalo-sie-suddenly-v25_00-2026-06-25.html	ZAMROZONE · maj 2026. gradually stalo sie suddenly · v25.00	https://maciektora-hue.github.io/rosja/gradually-suddenly/	H3	3	47	"Sokolenko — „prosił, by nikogo nie obwiniać"" jako gramatyka przemilczenia"	sokolenko-prosil-nie-obwiniac	OK	https://maciektora-hue.github.io/rosja/gradually-suddenly/#sokolenko-prosil-nie-obwiniac	Komunikat o śmierci Sokolenki analizowany przez gramatykę przemilczeń i formułkę winy.
A2	a2_ZAMROZONE-maj-2026-gradually-stalo-sie-suddenly-v25_00-2026-06-25.html	ZAMROZONE · maj 2026. gradually stalo sie suddenly · v25.00	https://maciektora-hue.github.io/rosja/gradually-suddenly/	H3	3	48	"Sokolenko nie jest wyjątkiem — radziecko-rosyjska tradycja „samobójstwa"" elit"	tradycja-rosyjskiego-samobojstwa	OK	https://maciektora-hue.github.io/rosja/gradually-suddenly/#tradycja-rosyjskiego-samobojstwa	Sokolenko wpisany w szerszy wzorzec niewyjaśnionych śmierci rosyjskich elit.
A2	a2_ZAMROZONE-maj-2026-gradually-stalo-sie-suddenly-v25_00-2026-06-25.html	ZAMROZONE · maj 2026. gradually stalo sie suddenly · v25.00	https://maciektora-hue.github.io/rosja/gradually-suddenly/	H3	3	49	838 stron — precyzja jako broń	budanov-838	OK	https://maciektora-hue.github.io/rosja/gradually-suddenly/#budanov-838	Precyzyjna liczba zabitych oficerów jako narzędzie wiarygodności i presji.
A2	a2_ZAMROZONE-maj-2026-gradually-stalo-sie-suddenly-v25_00-2026-06-25.html	ZAMROZONE · maj 2026. gradually stalo sie suddenly · v25.00	https://maciektora-hue.github.io/rosja/gradually-suddenly/	H3	3	50	Hipoteza neurodywergencji u szefów wywiadu	budanov-neurodywergencja	OK	https://maciektora-hue.github.io/rosja/gradually-suddenly/#budanov-neurodywergencja	Hipoteza neurodywergencji jako źródła wzorców poznawczych użytecznych w wywiadzie.
A2	a2_ZAMROZONE-maj-2026-gradually-stalo-sie-suddenly-v25_00-2026-06-25.html	ZAMROZONE · maj 2026. gradually stalo sie suddenly · v25.00	https://maciektora-hue.github.io/rosja/gradually-suddenly/	H2	2	51	VIII. Sygnalizacja strategiczna i asymetria opcjonalności	sygnalizacja-i-asymetria	OK	https://maciektora-hue.github.io/rosja/gradually-suddenly/#sygnalizacja-i-asymetria	Uderzenia jako komunikacja strategiczna oraz asymetria dostępnych opcji obu stron.
A2	a2_ZAMROZONE-maj-2026-gradually-stalo-sie-suddenly-v25_00-2026-06-25.html	ZAMROZONE · maj 2026. gradually stalo sie suddenly · v25.00	https://maciektora-hue.github.io/rosja/gradually-suddenly/	H3	3	52	Założenia metodologiczne	zalozenia-metodologiczne	OK	https://maciektora-hue.github.io/rosja/gradually-suddenly/#zalozenia-metodologiczne	Profesjonalna komunikacja wieloadresatowa: nadawca projektuje możliwe interpretacje odbiorców.
A2	a2_ZAMROZONE-maj-2026-gradually-stalo-sie-suddenly-v25_00-2026-06-25.html	ZAMROZONE · maj 2026. gradually stalo sie suddenly · v25.00	https://maciektora-hue.github.io/rosja/gradually-suddenly/	H3	3	53	Studium przypadku: przemówienie Zełeńskiego 17.05.2026	studium-przemowienie	OK	https://maciektora-hue.github.io/rosja/gradually-suddenly/#studium-przemowienie	Wypowiedź Zełenskiego z 17 maja jako sygnał dojrzałej zdolności dalekiego zasięgu.
A2	a2_ZAMROZONE-maj-2026-gradually-stalo-sie-suddenly-v25_00-2026-06-25.html	ZAMROZONE · maj 2026. gradually stalo sie suddenly · v25.00	https://maciektora-hue.github.io/rosja/gradually-suddenly/	H3	3	54	Komunikat wielo-adresatowy — ścieżki interpretacji	komunikat-wieloadresatowy	OK	https://maciektora-hue.github.io/rosja/gradually-suddenly/#komunikat-wieloadresatowy	Ta sama wypowiedź czytana inaczej przez Ukrainę, Rosję, Pekin i korporacje.
A2	a2_ZAMROZONE-maj-2026-gradually-stalo-sie-suddenly-v25_00-2026-06-25.html	ZAMROZONE · maj 2026. gradually stalo sie suddenly · v25.00	https://maciektora-hue.github.io/rosja/gradually-suddenly/	H3	3	55	Sekwencja zobowiązanie → pokaz → efekt skumulowany	sekwencja-commit	OK	https://maciektora-hue.github.io/rosja/gradually-suddenly/#sekwencja-commit	Najpierw zobowiązania polityczne, potem demonstracja zdolności dla maksymalnej wartości sygnału.
A2	a2_ZAMROZONE-maj-2026-gradually-stalo-sie-suddenly-v25_00-2026-06-25.html	ZAMROZONE · maj 2026. gradually stalo sie suddenly · v25.00	https://maciektora-hue.github.io/rosja/gradually-suddenly/	H4	4	56	Logika wstrzymaj i pokaż:	logika-wstrzymaj-pokaz	OK	https://maciektora-hue.github.io/rosja/gradually-suddenly/#logika-wstrzymaj-pokaz	Umowy przed demonstracją zwiększają nadwartość i legitymizują wybór partnerów.
A2	a2_ZAMROZONE-maj-2026-gradually-stalo-sie-suddenly-v25_00-2026-06-25.html	ZAMROZONE · maj 2026. gradually stalo sie suddenly · v25.00	https://maciektora-hue.github.io/rosja/gradually-suddenly/	H4	4	57	Sygnały wspierające tezę o świadomym wstrzymaniu:	sygnaly-wstrzymania	OK	https://maciektora-hue.github.io/rosja/gradually-suddenly/#sygnaly-wstrzymania	Ślady kontroli rytmu: dobór amunicji, selektywna pauza i ukrywanie maksimum.
